iter	Passed	Remaining
0	8	8697
1	15	7867
2	22	7501
3	29	7357
4	36	7288
5	43	7180
6	50	7152
7	57	7137
8	64	7097
9	71	7052
10	77	6987
11	84	6972
12	91	6934
13	97	6900
14	105	6904
15	111	6869
16	118	6853
17	125	6833
18	132	6855
19	140	6894
20	148	6925
21	158	7027
22	168	7161
23	179	7284
24	187	7312
25	197	7403
26	206	7432
27	219	7615
28	232	7780
29	243	7881
30	253	7914
31	264	7988
32	273	8008
33	281	8005
34	291	8033
35	299	8019
36	308	8034
37	316	8017
38	325	8021
39	333	8004
40	343	8025
41	351	8010
42	359	8004
43	367	7987
44	375	7976
45	383	7951
46	391	7932
47	398	7905
48	406	7879
49	413	7847
50	420	7819
51	427	7798
52	435	7778
53	442	7759
54	450	7738
55	458	7721
56	465	7701
57	473	7683
58	480	7664
59	487	7645
60	494	7615
61	501	7586
62	508	7567
63	515	7542
64	522	7520
65	529	7492
66	536	7471
67	543	7449
68	551	7435
69	557	7411
70	564	7387
71	571	7363
72	582	7398
73	592	7416
74	605	7468
75	614	7472
76	621	7452
77	631	7462
78	640	7462
79	651	7490
80	658	7472
81	666	7463
82	674	7453
83	681	7429
84	688	7411
85	695	7391
86	702	7368
87	709	7348
88	715	7328
89	722	7305
90	729	7284
91	735	7262
92	744	7259
93	753	7262
94	762	7264
95	771	7262
96	779	7260
97	788	7257
98	797	7257
99	806	7257
100	815	7258
101	824	7261
102	834	7263
103	844	7276
104	852	7268
105	861	7269
106	870	7267
107	877	7251
108	885	7241
109	894	7240
110	902	7228
111	911	7228
112	921	7232
113	931	7237
114	940	7240
115	951	7249
116	962	7260
117	974	7283
118	994	7363
119	1012	7423
120	1029	7478
121	1048	7547
122	1065	7596
123	1076	7605
124	1086	7608
125	1097	7610
126	1107	7612
127	1117	7611
128	1127	7610
129	1135	7601
130	1143	7583
131	1150	7568
132	1157	7547
133	1165	7531
134	1174	7523
135	1181	7503
136	1187	7481
137	1194	7461
138	1201	7444
139	1211	7442
140	1223	7454
141	1233	7450
142	1240	7436
143	1248	7422
144	1255	7403
145	1264	7393
146	1273	7388
147	1281	7374
148	1288	7358
149	1295	7338
150	1301	7319
151	1311	7317
152	1320	7312
153	1328	7297
154	1334	7277
155	1342	7260
156	1349	7243
157	1356	7227
158	1362	7209
159	1369	7190
160	1376	7172
161	1382	7153
162	1389	7135
163	1396	7118
164	1403	7102
165	1410	7084
166	1417	7068
167	1423	7052
168	1430	7034
169	1437	7017
170	1443	7000
171	1451	6985
172	1458	6970
173	1464	6953
174	1471	6938
175	1479	6926
176	1486	6910
177	1492	6894
178	1499	6878
179	1506	6863
180	1513	6847
181	1519	6831
182	1526	6815
183	1533	6799
184	1540	6784
185	1547	6771
186	1553	6755
187	1560	6739
188	1567	6724
189	1574	6710
190	1580	6695
191	1588	6684
192	1596	6676
193	1604	6664
194	1612	6656
195	1620	6646
196	1628	6639
197	1637	6630
198	1647	6633
199	1657	6628
200	1665	6619
201	1675	6618
202	1685	6618
203	1695	6614
204	1703	6604
205	1712	6601
206	1723	6604
207	1735	6608
208	1747	6613
209	1756	6609
210	1767	6608
211	1777	6607
212	1787	6603
213	1796	6598
214	1805	6590
215	1813	6582
216	1822	6577
217	1830	6567
218	1839	6561
219	1847	6551
220	1857	6547
221	1866	6541
222	1875	6536
223	1883	6523
224	1891	6515
225	1898	6502
226	1905	6490
227	1912	6476
228	1920	6467
229	1928	6457
230	1935	6444
231	1942	6431
232	1949	6417
233	1956	6404
234	1963	6391
235	1970	6378
236	1976	6364
237	1983	6350
238	1991	6340
239	2000	6333
240	2010	6330
241	2019	6326
242	2026	6314
243	2033	6301
244	2041	6290
245	2048	6277
246	2056	6269
247	2063	6257
248	2071	6247
249	2078	6236
250	2086	6227
251	2094	6216
252	2103	6210
253	2110	6199
254	2119	6191
255	2127	6181
256	2136	6177
257	2145	6170
258	2154	6163
259	2162	6154
260	2171	6147
261	2179	6139
262	2188	6132
263	2201	6138
264	2211	6134
265	2221	6130
266	2228	6118
267	2236	6109
268	2243	6097
269	2251	6086
270	2257	6073
271	2264	6061
272	2272	6050
273	2279	6039
274	2287	6029
275	2293	6016
276	2300	6004
277	2307	5992
278	2313	5979
279	2320	5967
280	2327	5955
281	2334	5944
282	2341	5931
283	2347	5919
284	2355	5909
285	2365	5904
286	2374	5897
287	2383	5893
288	2390	5881
289	2397	5869
290	2404	5858
291	2411	5846
292	2418	5834
293	2425	5824
294	2432	5812
295	2438	5800
296	2445	5789
297	2452	5777
298	2459	5766
299	2466	5754
300	2473	5743
301	2480	5732
302	2486	5720
303	2493	5708
304	2500	5696
305	2506	5685
306	2513	5674
307	2521	5665
308	2528	5654
309	2535	5642
310	2541	5631
311	2548	5619
312	2555	5608
313	2562	5598
314	2569	5586
315	2575	5575
